Axinella polypoides
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Azorina vidalii
Baetica ustulata
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Balistes capriscus
Balistes carolinensis
Barbastella barbastellus
Barbatula barbatula
Barbatula bureschi
Barbus albanicus
Barbus balcanicus
Barbus barbus
Barbus bergi
Barbus bocagei
Barbus caninus
Barbus capito
Barbus carottae
Barbus carpathicus
Barbus comizo
Barbus cyclolepis
Barbus euboicus
Barbus graecus
Barbus graellsii
Barbus guiraonis
Barbus haasi
Barbus macedonicus
Barbus meridionalis
Barbus microcephalus
Barbus peloponnesius
Barbus pergamonensis
Barbus petenyi
Barbus plebejus
Barbus prespensis
Barbus rebeli
Barbus sclateri
Barbus sperchiensis
Barbus steindachneri
Barbus strumicae
Barbus tyberinus
Barbus waleckii
Barlia metlesicsiaca
Bassia saxicola
Bathypterois dubius
Bathysolea profundicola
Bellevalia hackelii
Bellis azorica
Belone belone
Bencomia brachystachya
Bencomia exstipulata
Bencomia sphaerocarpa
Berberis maderensis
Beryx decadactylus
Beryx splendens
Beta adanensis
Beta patula
Beta trojana
Biscutella neustriaca
Biscutella sempervirens
Biscutella vincentina
Bison bonasus
Blanus cinereus
Blanus strauchi
Blennius fluviatilis
Blennius incognitus
Blicca bjoerkna
Bodianus scrofa
Bolbelasmus unicornis
Boleum asperum
Bombina bombina
Bombina variegata
Bombycilla garrulus
Bonasa bonasia
Borderea chouardii
Boros schneideri
Botaurus lentiginosus
Botaurus stellaris
Bothus podas
Botrychium matricariifolium
Botrychium multifidum
Botrychium simplex
Brachythemis fuscopalliata
Brachytrupes megacephalus
Branta bernicla
Branta canadensis
Branta leucopsis
Branta ruficollis
Brassica glabrescens
Brassica hilarionis
Brassica insularis
Brassica macrocarpa
Brassica sylvestris
Braya linearis
Braya purpurasceus
Bromus bromoideus
Bromus grossus
Bromus interruptus
Bromus moesiacus
Bromus psammophilus
Bruchia vogesiaca
Bryhnia novae-angliae
Bryoerythrophyllum campylocarpum
Bryoerythrophyllum machadoanum
Bubo bubo
Bubulcus ibis
Bubyr caucasicus
Bucanetes githagineus
Bucephala clangula
Bucephala islandica
Bufo bufo
Bufo calamita
Bufo mauritanicus
Bufo viridis
Bulweria bulwerii
Bunium brevifolium
Bupleurum capillare
Bupleurum dianthifolium
Bupleurum handiense
Bupleurum kakiskalae
Buprestis splendens
Burhinus oedicnemus
Buteo buteo
Buteo lagopus
Buteo rufinus
Butorides virescens
Buxbaumia viridis
Calamagrostis chalybaea
Calandrella brachydactyla
Calandrella rufescens
Calcarius lapponicus
Caldesia parnassifolia
Calendula maderensis
Calidris alba
Calidris alpina
Calidris canutus
Calidris ferruginea
Calidris fuscicollis
Calidris maritima
Calidris mauri
Calidris minuta
Calidris pusilla
Calidris temminckii
Callimorpha quadripunctaria
Callionymus fasciatus
Callionymus lyra
Callionymus reticulatus
Callionymus risso
Calonectris diomedea
Calopteryx syriaca
Calypso bulbosa
Campanula abietina
Campanula bohemica
Campanula damboldtiana
Campanula gelida
Campanula lanata
Campanula lycica
Campanula morettiana
Campanula romanica
Campanula sabatia
Campanula scheuchzeri
Campanula serrata
Campanula zoysii
Canis aureus
Canis lupus
Capra aegagrus
Capra ibex
Capra pyrenaica
Capreolus capreolus
Caprimulgus europaeus
Caprimulgus ruficollis
Carabus (variolosus)
Carabus hampei
Carabus hungaricus
Carabus menetriesi
Carabus olympiae
Carabus variolosus
Carabus zawadzkii
Caracal caracal
Caralluma burchardii
Carassius auratus
Carassius carassius
Carassius gibelio
Carcharodon carcharias
Carduelis cannabina
Carduelis carduelis
Carduelis chloris
Carduelis citrinella
Carduelis corsicana
Carduelis flammea
Carduelis flavirostris
Carduelis hornemanni
Carduelis spinus
